name,init,mult,size_x,size_y,run_nr,time
TrueFalse1281024,True,False,128,1024,4,72.47
TrueFalse25664,True,False,256,64,7,72.34
TrueFalse512256,True,False,512,256,8,72.39
FalseTrue512512,False,True,512,512,1,70.03
TrueTrue256128,True,True,256,128,3,71.42
TrueTrue3216,True,True,32,16,4,72.55
TrueFalse1281024,True,False,128,1024,9,72.26
FalseTrue3264,False,True,32,64,7,72.57
TrueFalse6464,True,False,64,64,5,72.79
FalseTrue6464,False,True,64,64,0,71.9
TrueFalse1616,True,False,16,16,4,72.34
TrueFalse1024256,True,False,1024,256,0,72.65
FalseTrue12864,False,True,128,64,4,72.08
TrueFalse256128,True,False,256,128,1,72.45
FalseTrue1281024,False,True,128,1024,7,72.25
FalseTrue6464,False,True,64,64,2,72.68
FalseTrue1024512,False,True,1024,512,6,72.33
TrueFalse5121024,True,False,512,1024,3,72.54
TrueTrue64256,True,True,64,256,7,72.08
FalseTrue12864,False,True,128,64,7,72.17
TrueFalse512256,True,False,512,256,7,71.7
FalseTrue128256,False,True,128,256,8,72.98
TrueFalse512512,True,False,512,512,5,71.78
TrueTrue64256,True,True,64,256,1,72.06
TrueFalse128128,True,False,128,128,10,72.47
TrueTrue256256,True,True,256,256,4,72.14
FalseTrue512512,False,True,512,512,4,71.83
FalseTrue12864,False,True,128,64,10,72.28
FalseTrue1281024,False,True,128,1024,11,70.89
FalseTrue2561024,False,True,256,1024,4,72.88
TrueTrue256512,True,True,256,512,4,72.05
FalseTrue1281024,False,True,128,1024,1,73.46
TrueFalse1632,True,False,16,32,9,72.4
FalseTrue12864,False,True,128,64,8,72.28
TrueTrue128128,True,True,128,128,7,72.21
TrueTrue64128,True,True,64,128,3,71.47
TrueTrue25664,True,True,256,64,8,71.48
TrueFalse6416,True,False,64,16,8,72.54
TrueTrue128128,True,True,128,128,0,72.5
TrueFalse256512,True,False,256,512,0,71.76
FalseTrue5121024,False,True,512,1024,7,71.51
TrueFalse12864,True,False,128,64,5,72.63
FalseTrue1024256,False,True,1024,256,9,72.27
TrueFalse512512,True,False,512,512,8,71.69
TrueTrue512512,True,True,512,512,0,71.3
TrueFalse10241024,True,False,1024,1024,6,72.58
FalseTrue512256,False,True,512,256,0,72.3
TrueFalse6464,True,False,64,64,2,72.3
TrueTrue1024128,True,True,1024,128,4,71.47
TrueTrue3264,True,True,32,64,8,72.45
TrueFalse1024512,True,False,1024,512,0,72.01
TrueFalse3232,True,False,32,32,11,72.65
TrueFalse6432,True,False,64,32,8,71.57
TrueTrue128512,True,True,128,512,3,71.22
TrueTrue5121024,True,True,512,1024,7,71.87
FalseTrue512128,False,True,512,128,6,71.49
TrueFalse10241024,True,False,1024,1024,11,72.42
TrueFalse256256,True,False,256,256,10,72.4
TrueFalse6464,True,False,64,64,4,73.22
TrueTrue128128,True,True,128,128,10,72.18
FalseTrue6464,False,True,64,64,10,72.8
TrueTrue64128,True,True,64,128,1,72.09
FalseTrue3232,False,True,32,32,6,72.17
TrueTrue256512,True,True,256,512,7,72.51
FalseTrue6464,False,True,64,64,11,72.41
TrueTrue1024256,True,True,1024,256,5,72.09
FalseTrue5121024,False,True,512,1024,2,71.3
TrueTrue1024256,True,True,1024,256,3,72.26
TrueTrue256128,True,True,256,128,11,72.24
TrueFalse128512,True,False,128,512,4,100.02
TrueTrue6464,True,True,64,64,3,72.09
FalseTrue6416,False,True,64,16,6,72.35
TrueTrue128256,True,True,128,256,5,72.05
TrueFalse512128,True,False,512,128,10,72.42
TrueFalse3232,True,False,32,32,7,72.26
TrueTrue641024,True,True,64,1024,1,72.25
TrueTrue1024128,True,True,1024,128,9,72.14
FalseTrue3264,False,True,32,64,8,72.14
TrueFalse1024512,True,False,1024,512,1,72.29
TrueFalse1664,True,False,16,64,11,72.31
TrueFalse12864,True,False,128,64,4,72.38
FalseTrue1632,False,True,16,32,11,71.55
FalseTrue10241024,False,True,1024,1024,7,72.28
FalseTrue1024512,False,True,1024,512,9,71.94
FalseTrue3232,False,True,32,32,7,72.33
TrueTrue25664,True,True,256,64,6,72.05
TrueTrue64512,True,True,64,512,6,71.45
