name,random_access,elem_size,ins_mix,num_elems,fill_random,repetitions
tiered list,0,8,1,100000,0,901
tiered list,1,8,1,100000,0,13529
array,0,8,10,100000,0,104
array,1,8,10,100000,0,98
linked list,0,8,10,100000,0,97
linked list,1,8,10,100000,0,123948
tiered list,0,8,10,100000,0,901
tiered list,1,8,10,100000,0,1483
array,0,8,50,100000,0,40
array,1,8,50,100000,0,39
linked list,0,8,50,100000,0,92
linked list,1,8,50,100000,0,93807
tiered list,0,8,50,100000,0,901
tiered list,1,8,50,100000,0,597
array,0,512,0,100000,0,41176
array,1,512,0,100000,0,51842
linked list,0,512,0,100000,0,94
linked list,1,512,0,100000,0,52984
tiered list,0,512,0,100000,0,35561
tiered list,1,512,0,100000,0,47829
array,0,512,1,100000,0,2012
array,1,512,1,100000,0,961
linked list,0,512,1,100000,0,94
linked list,1,512,1,100000,0,51773
tiered list,0,512,1,100000,0,901
tiered list,1,512,1,100000,0,11344
array,0,512,10,100000,0,104
array,1,512,10,100000,0,98
linked list,0,512,10,100000,0,96
linked list,1,512,10,100000,0,48069
tiered list,0,512,10,100000,0,901
tiered list,1,512,10,100000,0,1442
array,0,512,50,100000,0,41
array,1,512,50,100000,0,40
linked list,0,512,50,100000,0,92
linked list,1,512,50,100000,0,42082
tiered list,0,512,50,100000,0,901
tiered list,1,512,50,100000,0,587
