Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     35.19     0.00        9     0.00     0.00  luaL_prepbuffsize
  0.00     35.19     0.00        9     0.00     0.00  luaL_testudata
  0.00     35.19     0.00        9     0.00     0.00  lua_rawequal
  0.00     35.19     0.00        9     0.00     0.00  numarith
  0.00     35.19     0.00        8     0.00     0.00  luaS_createlngstrobj
  0.00     35.19     0.00        8     0.00     0.00  lua_gettop
  0.00     35.19     0.00        8     0.00     0.00  lua_pushnumber
  0.00     35.19     0.00        7     0.00     0.00  finishbinexpval
  0.00     35.19     0.00        7     0.00     0.00  luaD_pcall
  0.00     35.19     0.00        7     0.00     0.00  luaF_newCclosure
  0.00     35.19     0.00        6     0.00     0.00  get2digits
  0.00     35.19     0.00        6     0.00     0.00  luaF_freeproto
  0.00     35.19     0.00        6     0.00     0.00  luaF_newproto
  0.00     35.19     0.00        6     0.00     0.00  luaH_setint
  0.00     35.19     0.00        6     0.00     0.00  luaL_callmeta
  0.00     35.19     0.00        6     0.00     0.00  luaL_getmetafield
  0.00     35.19     0.00        6     0.00     0.00  luaL_tolstring
  0.00     35.19     0.00        6     0.00     0.00  luaO_pushvfstring
  0.00     35.19     0.00        6     0.00     0.00  luaT_gettm
  0.00     35.19     0.00        6     0.00     0.00  lua_pushfstring
  0.00     35.19     0.00        6     0.00     0.00  lua_rawseti
  0.00     35.19     0.00        6     0.00     0.00  lua_tointegerx
  0.00     35.19     0.00        6     0.00     0.00  lua_type
  0.00     35.19     0.00        6     0.00     0.00  open_func
  0.00     35.19     0.00        6     0.00     0.00  os_clock
  0.00     35.19     0.00        6     0.00     0.00  patchlistaux
  0.00     35.19     0.00        5     0.00     0.00  body
  0.00     35.19     0.00        5     0.00     0.00  fieldsel
  0.00     35.19     0.00        5     0.00     0.00  luaK_codek
  0.00     35.19     0.00        5     0.00     0.00  luaK_setoneret
  0.00     35.19     0.00        5     0.00     0.00  lua_setmetatable
  0.00     35.19     0.00        5     0.00     0.00  restassign
  0.00     35.19     0.00        4     0.00     5.83  GCTM
  0.00     35.19     0.00        4     0.00     0.00  allocupvalue
  0.00     35.19     0.00        4     0.00     0.00  codearith
  0.00     35.19     0.00        4     0.00     0.00  codebinexpval
  0.00     35.19     0.00        4     0.00     0.00  dothecall
  0.00     35.19     0.00        4     0.00     0.00  exp1
  0.00     35.19     0.00        4     0.00     0.00  luaC_checkfinalizer
  0.00     35.19     0.00        4     0.00     0.00  luaK_getlabel
  0.00     35.19     0.00        4     0.00     0.00  luaK_patchtohere
  0.00     35.19     0.00        4     0.00     0.00  luaT_gettmbyobj
  0.00     35.19     0.00        4     0.00     0.00  lua_newuserdatauv
  0.00     35.19     0.00        4     0.00     0.00  lua_pushinteger
  0.00     35.19     0.00        4     0.00     0.00  lua_pushlstring
  0.00     35.19     0.00        3     0.00     0.00  addlenmod
  0.00     35.19     0.00        3     0.00     0.00  addnum2buff
  0.00     35.19     0.00        3     0.00     0.00  aux_close
  0.00     35.19     0.00        3     0.00     0.00  checkformat
  0.00     35.19     0.00        3     0.00     0.00  createstdfile
  0.00     35.19     0.00        3     0.00     0.00  f_gc
  0.00     35.19     0.00        3     0.00     0.00  getF
  0.00     35.19     0.00        3     0.00     0.00  io_noclose
  0.00     35.19     0.00        3     0.00     0.00  isSCnumber
